y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
6740.74072265625,8404.3203125,1,2,1,36,2.0,6.0,166.0,5.0,11,45.0,0,45.0,2.0,1.0
5833.33349609375,6703.3427734375,1,2,1,51,1.0,7.0,12.0,3.0,11,48.0,0,48.0,1.0,1.0
3073.82080078125,3680.65405273438,1,2,1,45,1.0,4.0,15.0,2.0,11,56.0,0,56.0,1.0,1.0
4083.33325195312,4083.33325195312,1,2,1,61,3.0,3.0,120.0,4.0,11,40.0,0,40.0,1.0,0.0
8263.888671875,9437.84765625,1,2,0,35,2.0,7.0,24.0,5.0,11,48.0,0,48.0,2.0,1.0
5541.66650390625,6317.5,1,2,0,35,1.0,6.0,36.0,5.0,11,40.0,0,40.0,1.0,1.0
7689.39404296875,8571.46484375,1,2,1,39,1.0,7.0,94.0,5.0,11,44.0,0,44.0,1.0,1.0
,,1,2,1,29,,7.0,6.0,1.0,11,40.0,1,40.0,4.0,0.0
3240.74072265625,3366.04931640625,1,2,1,29,1.0,6.0,24.0,2.0,11,54.0,0,54.0,1.0,1.0
,,1,2,0,44,,5.0,6.0,1.0,11,42.0,1,42.0,4.0,0.0
,,1,2,1,31,1.0,6.0,24.0,5.0,11,55.0,0,55.0,1.0,1.0
,,1,2,0,18,1.0,6.0,18.0,2.0,11,84.0,0,84.0,1.0,0.0
,,1,2,1,55,3.0,6.0,2.0,2.0,11,48.0,0,48.0,5.0,0.0
3586.12426757812,3990.27709960938,1,2,0,56,1.0,4.0,30.0,5.0,11,48.0,0,48.0,1.0,1.0
4303.34912109375,5146.94482421875,1,2,1,23,1.0,7.0,51.0,5.0,11,40.0,0,40.0,1.0,1.0
3456.7900390625,4104.10302734375,1,2,1,30,1.0,6.0,8.0,3.0,11,54.0,0,54.0,1.0,1.0
,,1,2,0,50,1.0,7.0,72.0,1.0,11,48.0,1,48.0,4.0,0.0
3888.88891601562,4617.11572265625,1,2,1,28,1.0,7.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,2,0,54,3.0,5.0,120.0,2.0,11,66.0,1,66.0,4.0,0.0
4375.0,4375.0,1,2,1,36,3.0,6.0,36.0,2.0,11,16.0,0,16.0,1.0,0.0
,,1,2,0,53,1.0,5.0,120.0,1.0,11,40.0,1,40.0,4.0,0.0
7291.66650390625,7736.45849609375,1,2,0,33,1.0,7.0,24.0,3.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,3868.87915039062,1,2,1,38,1.0,6.0,96.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,2,1,51,1.0,6.0,100.0,1.0,11,48.0,1,48.0,4.0,0.0
5185.18505859375,5617.2841796875,1,2,0,51,1.0,6.0,72.0,4.0,11,45.0,0,45.0,1.0,1.0
17013.888671875,17662.037109375,1,2,1,43,1.0,7.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,2,1,47,1.0,6.0,204.0,1.0,11,70.0,1,70.0,4.0,1.0
8166.66650390625,9682.205078125,1,2,0,41,2.0,6.0,48.0,5.0,11,40.0,0,40.0,2.0,1.0
3586.12426757812,4019.57348632812,1,2,0,31,1.0,6.0,24.0,4.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,4014.30737304688,1,2,1,36,1.0,5.0,156.0,4.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,4425.23193359375,1,2,0,50,1.0,6.0,108.0,5.0,11,48.0,0,48.0,1.0,1.0
4375.0,5284.02783203125,1,2,0,42,1.0,6.0,12.0,1.0,11,48.0,0,48.0,3.0,1.0
7777.77783203125,7777.77783203125,1,2,1,45,1.0,4.0,70.0,3.0,11,45.0,0,45.0,1.0,1.0
3056.66674804688,3056.66674804688,1,2,1,20,1.0,7.0,4.0,5.0,11,60.0,0,60.0,1.0,1.0
5833.33349609375,6237.486328125,1,2,1,49,1.0,6.0,36.0,4.0,11,48.0,0,48.0,1.0,1.0
